IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.229.166.184,443,443,true,HKG,Asia Pacific,Hong Kong,23,65.01
16.162.37.167,443,443,true,HKG,Asia Pacific,Hong Kong,89,18.00
103.44.255.81,443,443,true,HKG,Asia Pacific,Hong Kong,4,6.77
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,13,4.10
172.93.188.157,443,443,true,SIN,Asia Pacific,Singapore,15,0.57
172.93.165.228,443,443,true,SIN,Asia Pacific,Singapore,12,0.44
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,316,0.44
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,15,0.32
103.200.112.108,443,443,true,HKG,Asia Pacific,Hong Kong,24,0.22
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,19,0.12
38.207.143.37,443,443,true,HKG,Asia Pacific,Hong Kong,232,0.04
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,12,0.01
43.154.104.77,443,443,true,HKG,Asia Pacific,Hong Kong,40,0.00
43.159.196.17,443,443,true,HKG,Asia Pacific,Hong Kong,40,0.00
103.220.72.40,443,443,true,HKG,Asia Pacific,Hong Kong,17,0.00
101.36.127.49,443,443,true,HKG,Asia Pacific,Hong Kong,17,0.00
43.128.26.74,443,443,true,HKG,Asia Pacific,Hong Kong,39,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,40,0.00
47.242.57.106,443,443,true,HKG,Asia Pacific,Hong Kong,15,0.00
